"","external_gene_name","chromosome_name","description"
"6419","IER5L","9","immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]"
"6420","LSM2","HSCHR6_MHC_APD_CTG1","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]"
"6421","OR2H1","HSCHR6_MHC_APD_CTG1","olfactory receptor family 2 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:8252]"
"6422","GPR20","HSCHR8_5_CTG7","G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]"
"6423","YIPF5","5","Yip1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:24877]"
"6424","HSPA1A","HSCHR6_MHC_APD_CTG1","heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]"
"6425","SAPCD1","HSCHR6_MHC_DBB_CTG1","suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13938]"
"6426","EGFL8","HSCHR6_MHC_APD_CTG1","EGF like domain multiple 8 [Source:HGNC Symbol;Acc:HGNC:13944]"
"6427","TMEM144","4","transmembrane protein 144 [Source:HGNC Symbol;Acc:HGNC:25633]"
"6428","HSPA1L","HSCHR6_MHC_DBB_CTG1","heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]"
"6429","POU5F1","HSCHR6_MHC_DBB_CTG1","POU class 5 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9221]"
"6430","CHST8","19","carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993]"
"6431","ZNF251","HSCHR8_2_CTG7","zinc finger protein 251 [Source:HGNC Symbol;Acc:HGNC:13045]"
"6432","EFR3B","2","EFR3 homolog B [Source:HGNC Symbol;Acc:HGNC:29155]"
"6433","TUBB","HSCHR6_MHC_APD_CTG1","tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]"
"6434","PNPLA5","22","patatin like phospholipase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:24888]"
"6435","SPATA31A1","9","SPATA31 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:23394]"
"6436","TSBP1","HSCHR6_MHC_APD_CTG1","testis expressed basic protein 1 [Source:HGNC Symbol;Acc:HGNC:13922]"
"6437","RALGAPB","20","Ral GTPase activating protein non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:29221]"
"6438","BAG6","HSCHR6_MHC_DBB_CTG1","BAG cochaperone 6 [Source:HGNC Symbol;Acc:HGNC:13919]"
"6439","KATNA1","6","katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]"
"6440","HLA-DMB","HSCHR6_MHC_APD_CTG1","major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]"
"6441","PRDM16","1","PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]"
"6442","TRIM40","HSCHR6_MHC_APD_CTG1","tripartite motif containing 40 [Source:HGNC Symbol;Acc:HGNC:18736]"
"6443","TRPC6","11","transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]"
"6444","GNL1","HSCHR6_MHC_APD_CTG1","G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]"
"6445","ZNF723","19","zinc finger protein 723 [Source:HGNC Symbol;Acc:HGNC:32286]"
"6446","MYH9","22","myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]"
"6447","PSMB8","HSCHR6_MHC_APD_CTG1","proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]"
"6448","","9",""
"6449","MSH5","HSCHR6_MHC_APD_CTG1","mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328]"
"6450","DAXX","HSCHR6_MHC_DBB_CTG1","death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]"
"6451","LRRC27","10","leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]"
"6452","PRDM6","5","PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]"
"6453","SPN","16","sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]"
"6454","MDC1","HSCHR6_MHC_APD_CTG1","mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]"
"6455","DDR1","HSCHR6_MHC_DBB_CTG1","discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]"
"6456","SLC46A2","9","solute carrier family 46 member 2 [Source:HGNC Symbol;Acc:HGNC:16055]"
"6457","HLA-DPB1","HSCHR6_MHC_APD_CTG1","major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]"
"6458","CCDC112","5","coiled-coil domain containing 112 [Source:HGNC Symbol;Acc:HGNC:28599]"
"6459","TAOK2","16","TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]"
"6460","HLA-DMA","HSCHR6_MHC_APD_CTG1","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"6461","TUBE1","6","tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775]"
"6462","POLR1H","HSCHR6_MHC_APD_CTG1","RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]"
"6463","DXO","HSCHR6_MHC_DBB_CTG1","decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]"
"6464","SLC31A2","9","solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]"
"6465","TRIM31","HSCHR6_MHC_APD_CTG1","tripartite motif containing 31 [Source:HGNC Symbol;Acc:HGNC:16289]"
"6466","ASAH1","8","N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]"
"6467","EHMT2","HSCHR6_MHC_APD_CTG1","euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]"
"6468","LY6G6D","HSCHR6_MHC_DBB_CTG1","lymphocyte antigen 6 family member G6D [Source:HGNC Symbol;Acc:HGNC:13935]"
"6469","CLIC1","HSCHR6_MHC_DBB_CTG1","chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]"
"6470","OR1K1","9","olfactory receptor family 1 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:8212]"
"6471","HLA-DRB1","HSCHR6_MHC_DBB_CTG1","major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]"
"6472","KBTBD8","3","kelch repeat and BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:30691]"
"6473","RC3H2","9","ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:HGNC:21461]"
"6474","DEFB104B","HSCHR8_3_CTG1","defensin beta 104B [Source:HGNC Symbol;Acc:HGNC:26165]"
"6475","DEFB105B","HSCHR8_3_CTG1","defensin beta 105B [Source:HGNC Symbol;Acc:HGNC:29930]"
"6476","C6orf47","HSCHR6_MHC_DBB_CTG1","chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]"
"6477","PRR23D1","HSCHR8_3_CTG1","proline rich 23 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:49420]"
"6478","LY6G6F","HSCHR6_MHC_DBB_CTG1","lymphocyte antigen 6 family member G6F [Source:HGNC Symbol;Acc:HGNC:13933]"
"6479","PWWP2B","10","PWWP domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25150]"
"6480","DEFB4B","HSCHR8_3_CTG1","defensin beta 4B [Source:HGNC Symbol;Acc:HGNC:30193]"
"6481","COL11A2","HSCHR6_MHC_DBB_CTG1","collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]"
"6482","DEFB103B","HSCHR8_3_CTG1","defensin beta 103B [Source:HGNC Symbol;Acc:HGNC:31702]"
"6483","SLC44A4","HSCHR6_MHC_APD_CTG1","solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]"
"6484","ZNF705G","HSCHR8_3_CTG1","zinc finger protein 705G [Source:HGNC Symbol;Acc:HGNC:37134]"
"6485","LTV1","6","LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]"
"6486","DEFB107B","HSCHR8_3_CTG1","defensin beta 107B [Source:HGNC Symbol;Acc:HGNC:31918]"
"6487","SPAG11B","HSCHR8_3_CTG1","sperm associated antigen 11B [Source:HGNC Symbol;Acc:HGNC:14534]"
"6488","KDM2A","11","lysine demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]"
"6489","AGER","HSCHR6_MHC_APD_CTG1","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]"
"6490","PSD","10","pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]"
"6491","C6orf136","HSCHR6_MHC_DBB_CTG1","chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]"
"6492","FNDC1","6","fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]"
"6493","DEFB106B","HSCHR8_3_CTG1","defensin beta 106B [Source:HGNC Symbol;Acc:HGNC:28879]"
"6494","VWA7","HSCHR6_MHC_DBB_CTG1","von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939]"
"6495","SLCO6A1","5","solute carrier organic anion transporter family member 6A1 [Source:HGNC Symbol;Acc:HGNC:23613]"
"6496","IGFBP4","17","insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]"
"6497","PEX10","1","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]"
"6498","NOTCH4","HSCHR6_MHC_APD_CTG1","notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]"
"6499","LST1","HSCHR6_MHC_DBB_CTG1","leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]"
"6500","TAP2","HSCHR6_MHC_APD_CTG1","transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]"
"6501","GSDMC","HSCHR8_7_CTG7","gasdermin C [Source:HGNC Symbol;Acc:HGNC:7151]"
"6502","PDZRN3","3","PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:17704]"
"6503","HLA-DPA1","HSCHR6_MHC_APD_CTG1","major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]"
"6504","RASD2","22","RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229]"
"6505","TMIGD1","17","transmembrane and immunoglobulin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32431]"
"6506","STK26","X","serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]"
"6507","HLA-A","HSCHR6_MHC_APD_CTG1","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"6508","ATF6B","HSCHR6_MHC_DBB_CTG1","activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]"
"6509","HIRIP3","16","HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]"
"6510","MB","22","myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]"
"6511","HLA-DQB1","HSCHR6_MHC_DBB_CTG1","major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]"
"6512","GREB1","2","growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]"
"6513","PSMB8","HSCHR6_MHC_DBB_CTG1","proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]"
"6514","TRIM26","HSCHR6_MHC_APD_CTG1","tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]"
"6515","CUEDC2","10","CUE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28352]"
"6516","ZBTB22","HSCHR6_MHC_DBB_CTG1","zinc finger and BTB domain containing 22 [Source:HGNC Symbol;Acc:HGNC:13085]"
"6517","SLC44A4","HSCHR6_MHC_DBB_CTG1","solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]"
"6518","SNHG32","HSCHR6_MHC_APD_CTG1","small nucleolar RNA host gene 32 [Source:HGNC Symbol;Acc:HGNC:19078]"
"6519","BECN1","17","beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]"
"6520","HLA-DQA2","HSCHR6_MHC_APD_CTG1","major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]"
"6521","MUC21","HSCHR6_MHC_DBB_CTG1","mucin 21, cell surface associated [Source:HGNC Symbol;Acc:HGNC:21661]"
"6522","CCNG2","4","cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]"
"6523","MUCL3","HSCHR6_MHC_DBB_CTG1","mucin like 3 [Source:HGNC Symbol;Acc:HGNC:21666]"
"6524","VWA7","HSCHR6_MHC_APD_CTG1","von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939]"
"6525","HLA-DPB1","HSCHR6_MHC_DBB_CTG1","major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]"
"6526","C10orf95","10","chromosome 10 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:25880]"
"6527","DMKN","19","dermokine [Source:HGNC Symbol;Acc:HGNC:25063]"
"6528","AFG1L","6","AFG1 like ATPase [Source:HGNC Symbol;Acc:HGNC:16411]"
"6529","MFSD13A","10","major facilitator superfamily domain containing 13A [Source:HGNC Symbol;Acc:HGNC:26196]"
"6530","MAS1L","HSCHR6_MHC_APD_CTG1","MAS1 proto-oncogene like, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:13961]"
"6531","ZBTB6","9","zinc finger and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16764]"
"6532","PSMB9","HSCHR6_MHC_DBB_CTG1","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]"
"6533","PBX2","HSCHR6_MHC_APD_CTG1","PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]"
"6534","INO80E","16","INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]"
"6535","ZBTB26","9","zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:HGNC:23383]"
"6536","TECPR1","7","tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]"
"6537","POLR1H","HSCHR6_MHC_DBB_CTG1","RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]"
"6538","APOL6","22","apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]"
"6539","PEX14","1","peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]"
"6540","NCR3","HSCHR6_MHC_DBB_CTG1","natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]"
"6541","PSMB9","HSCHR6_MHC_APD_CTG1","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]"
"6542","HLA-DRA","HSCHR6_MHC_DBB_CTG1","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]"
"6543","FCHSD1","5","FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463]"
"6544","RABGAP1","9","RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]"
"6545","APOL5","22","apolipoprotein L5 [Source:HGNC Symbol;Acc:HGNC:14869]"
"6546","HLA-C","HSCHR6_MHC_DBB_CTG1","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]"
"6547","ACTR1A","10","actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]"
"6548","DDX39B","HSCHR6_MHC_APD_CTG1","DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]"
"6549","CPOX","3","coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]"
"6550","APOL2","22","apolipoprotein L2 [Source:HGNC Symbol;Acc:HGNC:619]"
"6551","APOM","HSCHR6_MHC_DBB_CTG1","apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]"
"6552","SLC32A1","20","solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]"
"6553","DYNLT2","6","dynein light chain Tctex-type 2 [Source:HGNC Symbol;Acc:HGNC:11695]"
"6554","ACTR5","20","actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]"
"6555","PFDN6","HSCHR6_MHC_DBB_CTG1","prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926]"
"6556","DDR1","HSCHR6_MHC_APD_CTG1","discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]"
"6557","","HSCHR6_MHC_DBB_CTG1",""
"6558","UBE3D","6","ubiquitin protein ligase E3D [Source:HGNC Symbol;Acc:HGNC:21381]"
"6559","FAM107A","3","family with sequence similarity 107 member A [Source:HGNC Symbol;Acc:HGNC:30827]"
"6560","GPSM3","HSCHR6_MHC_APD_CTG1","G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]"
"6561","ADAM2","HSCHR8_9_CTG1","ADAM metallopeptidase domain 2 [Source:HGNC Symbol;Acc:HGNC:198]"
"6562","TRIM39","HSCHR6_MHC_APD_CTG1","tripartite motif containing 39 [Source:HGNC Symbol;Acc:HGNC:10065]"
"6563","OR12D3","HSCHR6_MHC_DBB_CTG1","olfactory receptor family 12 subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:13963]"
"6564","OR12D2","HSCHR6_MHC_DBB_CTG1","olfactory receptor family 12 subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:8178]"
"6565","ADAM9","HSCHR8_9_CTG1","ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]"
"6566","OR11A1","HSCHR6_MHC_DBB_CTG1","olfactory receptor family 11 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8176]"
"6567","GSDMD","HSCHR8_3_CTG7","gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]"
"6568","EFCAB8","20","EF-hand calcium binding domain 8 [Source:HGNC Symbol;Acc:HGNC:34532]"
"6569","OR10C1","HSCHR6_MHC_DBB_CTG1","olfactory receptor family 10 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8165]"
"6570","OR2H1","HSCHR6_MHC_DBB_CTG1","olfactory receptor family 2 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:8252]"
"6571","PPT2","HSCHR6_MHC_APD_CTG1","palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]"
"6572","MAS1L","HSCHR6_MHC_DBB_CTG1","MAS1 proto-oncogene like, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:13961]"
"6573","ADAM32","HSCHR8_9_CTG1","ADAM metallopeptidase domain 32 [Source:HGNC Symbol;Acc:HGNC:15479]"
"6574","PLCH2","1","phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]"
"6575","CNBD2","20","cyclic nucleotide binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16145]"
"6576","PLAU","10","plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]"
"6577","ZC3H3","HSCHR8_3_CTG7","zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]"
"6578","PRMT9","4","protein arginine methyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:25099]"
"6579","SEC14L6","22","SEC14 like lipid binding 6 [Source:HGNC Symbol;Acc:HGNC:40047]"
"6580","PYCR3","HSCHR8_3_CTG7","pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]"
"6581","NRM","HSCHR6_MHC_APD_CTG1","nurim [Source:HGNC Symbol;Acc:HGNC:8003]"
"6582","OR12D1","HSCHR6_MHC_DBB_CTG1","olfactory receptor family 12 subfamily D member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8177]"
"6583","ADAM18","HSCHR8_9_CTG1","ADAM metallopeptidase domain 18 [Source:HGNC Symbol;Acc:HGNC:196]"
"6584","THAP5","7","THAP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23188]"
"6585","CNTD1","17","cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]"
"6586","RAP2C","X","RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]"
"6587","EEF1D","HSCHR8_3_CTG7","eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]"
"6588","PPIC","5","peptidylprolyl isomerase C [Source:HGNC Symbol;Acc:HGNC:9256]"
"6589","LHFPL7","22","LHFPL tetraspan subfamily member 7 [Source:HGNC Symbol;Acc:HGNC:33725]"
"6590","SLN","11","sarcolipin [Source:HGNC Symbol;Acc:HGNC:11089]"
"6591","KIAA1671","22","KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]"
"6592","GEN1","2","GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]"
"6593","STRBP","9","spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]"
"6594","PDCD2","6","programmed cell death 2 [Source:HGNC Symbol;Acc:HGNC:8762]"
"6595","PDGFD","11","platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]"
"6596","PLP1","X","proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]"
"6597","ZNF717","3","zinc finger protein 717 [Source:HGNC Symbol;Acc:HGNC:29448]"
"6598","TTC33","5","tetratricopeptide repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:29959]"
"6599","ZNF624","17","zinc finger protein 624 [Source:HGNC Symbol;Acc:HGNC:29254]"
"6600","ANKRD1","10","ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]"
"6601","DOC2A","16","double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]"
"6602","TMEM243","7","transmembrane protein 243 [Source:HGNC Symbol;Acc:HGNC:21707]"
"6603","NAP1L5","4","nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]"
"6604","MAPK15","HSCHR8_3_CTG7","mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]"
"6605","COL20A1","20","collagen type XX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:14670]"
"6606","FAM83H","HSCHR8_3_CTG7","family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]"
"6607","CRYBB3","22","crystallin beta B3 [Source:HGNC Symbol;Acc:HGNC:2400]"
"6608","ANKRD50","4","ankyrin repeat domain containing 50 [Source:HGNC Symbol;Acc:HGNC:29223]"
"6609","BTNL9","5","butyrophilin like 9 [Source:HGNC Symbol;Acc:HGNC:24176]"
"6610","GFUS","HSCHR8_3_CTG7","GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390]"
"6611","VSNL1","2","visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]"
"6612","CUL5","11","cullin 5 [Source:HGNC Symbol;Acc:HGNC:2556]"
"6613","SPNS3","17","SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative) [Source:HGNC Symbol;Acc:HGNC:28433]"
"6614","SPSB1","1","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]"
"6615","NAPRT","HSCHR8_3_CTG7","nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]"
"6616","CRYBB2","22","crystallin beta B2 [Source:HGNC Symbol;Acc:HGNC:2398]"
"6617","LSM5","7","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]"
"6618","WASHC2A","10","WASH complex subunit 2A [Source:HGNC Symbol;Acc:HGNC:23416]"
"6619","CCDC166","HSCHR8_3_CTG7","coiled-coil domain containing 166 [Source:HGNC Symbol;Acc:HGNC:41910]"
"6620","ZNF707","HSCHR8_3_CTG7","zinc finger protein 707 [Source:HGNC Symbol;Acc:HGNC:27815]"
"6621","POMZP3","HSCHR7_2_CTG4_4","POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:HGNC:9203]"
"6622","APBA1","HSCHR9_1_CTG2","amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]"
"6623","JADE1","4","jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]"
"6624","UPK3B","HSCHR7_2_CTG4_4","uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]"
"6625","SLC2A5","1","solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]"
"6626","ATF4","22","activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]"
"6627","PPARGC1B","5","PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]"
"6628","SPDYE16","HSCHR7_2_CTG4_4","speedy/RINGO cell cycle regulator family member E16 [Source:HGNC Symbol;Acc:HGNC:51512]"
"6629","RFLNB","17","refilin B [Source:HGNC Symbol;Acc:HGNC:28705]"
"6630","DTX2","HSCHR7_2_CTG4_4","deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]"
"6631","TIGD5","HSCHR8_3_CTG7","tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336]"
"6632","EPHA3","3","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]"
"6633","ZNF623","HSCHR8_3_CTG7","zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084]"
"6634","CSF2RB","22","colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]"
"6635","","17","novel transcript"
"6636","MROH6","HSCHR8_3_CTG7","maestro heat like repeat family member 6 [Source:HGNC Symbol;Acc:HGNC:27814]"
"6637","SCRIB","HSCHR8_3_CTG7","scribble planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]"
"6638","WNK4","17","WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]"
"6639","PPP2R1B","11","protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]"
"6640","LDAH","2","lipid droplet associated hydrolase [Source:HGNC Symbol;Acc:HGNC:26145]"
"6641","NONO","X","non-POU domain containing octamer binding [Source:HGNC Symbol;Acc:HGNC:7871]"
"6642","CHD8","14","chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153]"
"6643","BAG2","6","BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]"
"6644","AP1S1","7","adaptor related protein complex 1 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:559]"
"6645","GRK3","22","G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]"
"6646","L3MBTL3","6","L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]"
"6647","PRAC2","17","PRAC2 small nuclear protein [Source:HGNC Symbol;Acc:HGNC:30143]"
"6648","NMNAT1","1","nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]"
"6649","FXN","9","frataxin [Source:HGNC Symbol;Acc:HGNC:3951]"
"6650","WFDC10B","20","WAP four-disulfide core domain 10B [Source:HGNC Symbol;Acc:HGNC:20479]"
"6651","IMPG2","3","interphotoreceptor matrix proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:18362]"
